DATE;C;CIRCUIT;DISTRICT;NB_COLIS;PGEO;RUE;NUMEROS_RUE
01/12/2025;542;657;d 1;3;3;rue daumesnil;13, 17, 23
01/12/2025;542;658;d 2;2;2;square daumesnil;3, 4
01/12/2025;542;658;d 2;3;3;rue charles pathe;3, 5, 10
01/12/2025;542;658;d 2;6;4;allee georges pompidou;4, 7, 16, 18
01/12/2025;541;659;d 3;8;5;rue lejemptel;3, 4, 5, 6, 14
01/12/2025;541;688;d 3;1;1;boulevard de la liberation;52
01/12/2025;541;651;d 1;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
01/12/2025;541;654;d 4;8;5;rue du commandant mowat;7, 12, 32, 57, 64
01/12/2025;541;654;d 4;1;1;rue du lieutenant quennehen;14
01/12/2025;541;654;d 4;10;8;boulevard de la liberation;33, 49, 53, 78, 88, 89, 89BIS, 106
01/12/2025;541;654;d 4;1;1;rue de la marseillaise;39
01/12/2025;541;654;d 4;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
01/12/2025;541;654;d 4;8;7;rue de la jarry;40, 62, 95, 111, 117, 121, 164
01/12/2025;541;655;d 5;23;15;rue diderot;82, 95, 98, 100, 102, 120, RC124, 145, 162, 198, 210, RC215, 216, 222, 275
01/12/2025;541;655;d 5;3;3;rue de la bienfaisance;41, 45, 46
01/12/2025;541;655;d 5;3;2;rue de la renardiere;6, RC16
01/12/2025;541;655;d 5;2;1;villa faie felix;3
01/12/2025;541;655;d 5;7;5;rue faie felix;5, 6, 9, 12, 18
22/11/2025;542;660;d 4;23;14;rue de montreuil;31BIS, 37, 39BIS, 68, 70, 80, RC82, RC92, 94BIS, 98, 110A, 114, 130, 132
22/11/2025;542;660;d 4;8;7;rue de l eglise;1BIS, 2, 4, 4BIS, 5, 21, 29
22/11/2025;542;661;d 5;14;10;rue de la paix;4, 6, 9TER, 14BIS, 20, 22, 25, 28
22/11/2025;542;661;d 5;4;2;rue de la fraternite;6, 17
22/11/2025;542;661;d 5;2;1;rue de belfort;25
22/11/2025;542;661;d 5;2;2;rue gilbert clerfayt;4, 6
22/11/2025;542;661;d 5;1;1;passage des varennes;9
22/11/2025;542;661;d 5;11;4;rue des meuniers;1, 7, 9, RC55
20/11/2025;548;659;d 3;1;1;rue raymond du temple;5
20/11/2025;542;660;d 4;42;17;rue de montreuil;31BIS, 33, 35, 68, 74BIS, RC82, RC92, 94TER, 100, 102, 106, 108BIS, 112, 120, 138, 146, 152
20/11/2025;542;660;d 4;8;6;rue de l eglise;2, 4BIS, 18, 22, 28BIS, 30
20/11/2025;542;661;d 5;20;13;rue de la paix;4, 6BIS, 11, 11QUATER, 12, 19, 22, 25, 28, 30, 35
20/11/2025;542;661;d 5;4;2;rue de la fraternite;6, 12
20/11/2025;542;661;d 5;4;3;rue monmory;1, 12, 14
20/11/2025;542;661;d 5;2;2;rue de belfort;2, 12
20/11/2025;542;661;d 5;9;2;rue gilbert clerfayt;1, 6
20/11/2025;542;661;d 5;26;7;rue des meuniers;3, 5, 9, 15, 17TER, 39, RC55
19/11/2025;541;655;d 5;1;1;rue diderot;191
19/11/2025;542;657;d 1;1;1;rue de montreuil;13
19/11/2025;542;657;d 1;1;1;avenue de la republique;92
19/11/2025;542;657;d 1;6;6;rue du midi;1TER, 3, 6, 7, 10, 16
19/11/2025;542;659;d 3;1;1;rue eugene renaud;(illisible)
19/11/2025;548;659;d 3;14;8;rue raymond du temple;2, 3, 5, 7, 11, 32, 66, 82
19/11/2025;548;659;d 3;10;6;rue lejemptel;3, 6, 9, 12, 14, 22
19/11/2025;548;659;d 3;1;1;allee charles v;5
19/11/2025;542;659;d 3;7;5;avenue du chateau;28, 30, 37, 38, 40
19/11/2025;542;660;d 4;34;17;rue de montreuil;35, 35BIS, 39, 68, RC82, RC92, 94TER, 98, 100, 102, 108BIS, 110, 112, 120, 132, 146, 152
19/11/2025;542;660;d 4;7;6;rue de l eglise;2, 2BIS, 4BIS, 11, 12, 18
19/11/2025;542;661;d 5;12;6;rue de la paix;4, 12, 22, 25, 28, 56
19/11/2025;542;661;d 5;6;6;rue de la fraternite;10, 12, 13, 17, 23, 25
19/11/2025;542;661;d 5;2;1;rue monmory;1
19/11/2025;542;661;d 5;4;4;rue de belfort;2, 17, 20, 23QUATER
19/11/2025;542;661;d 5;10;2;rue gilbert clerfayt;5, 6
19/11/2025;542;661;d 5;12;5;rue des meuniers;3, 9BIS, 35, 43, RC55
21/11/2025;542;657;d 1;1;1;avenue de la republique;28
21/11/2025;542;658;d 2;1;1;allee georges pompidou;7
21/11/2025;542;660;d 4;30;16;rue de montreuil;35BIS, 39, 43, 45, 47, 70, 72, 74BIS, RC82, RC92, 94, 98BIS, 114, 118, 132, 152
21/11/2025;542;660;d 4;5;5;rue de l eglise;4BIS, 5, 18, 28BIS
21/11/2025;542;661;d 5;17;11;rue de la paix;4, 9TER, 15, 18, 22, 25, 27, 28, 44, 50, 58
21/11/2025;542;661;d 5;6;5;rue de la fraternite;4, 6, 7, 12, 17
21/11/2025;542;661;d 5;2;2;rue monmory;1, 14
21/11/2025;542;661;d 5;2;2;rue de belfort;2, 25
21/11/2025;542;661;d 5;7;2;rue gilbert clerfayt;1, 6
21/11/2025;542;661;d 5;13;5;rue des meuniers;7, 9BIS, 13, 15, RC55
21/11/2025;546;673;d 5;1;1;rue d estienne d orves;29
21/11/2025;546;681;d 2;1;1;rue victor basch;2BIS
25/02/2026;541;651;d 1;4;1;rue de conde sur noireau;2
25/02/2026;541;651;d 1;1;1;avenue de vorges;6
25/02/2026;541;651;d 1;3;3;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
25/02/2026;541;651;d 1;5;5;rue joseph gaillard;6, 7, 9, 10, 16
25/02/2026;541;651;d 1;5;4;rue joseph gaillard;57, 59, 65, 71
25/02/2026;541;651;d 1;1;1;rue de verdun;2
25/02/2026;546;652;d 2;2;1;rue charles silvestri;45
25/02/2026;546;652;d 2;11;8;rue leroyer;2TER, 6, 9, 10, 19, 22, 40, 42BIS
25/02/2026;546;652;d 2;2;2;rue de la solidarite;22, 34
25/02/2026;546;652;d 2;11;9;rue crebillon;2, 12BIS, 15, 18, 20, 31, 38, 44, 46
25/02/2026;541;652;d 2;16;7;rue diderot;13, 28, 40, 44, 51, 57, 72
25/02/2026;546;653;d 3;4;3;rue charles silvestri;17, 19BIS, 21
25/02/2026;541;653;d 3;1;1;rue de la marseillaise;15
25/02/2026;541;653;d 3;1;1;rue de la liberte;22, 11, 30BIS, 32, 23, 7TER, 13, 30, 30TER, 15, 29, 9BIS, 18, 52, 45
25/02/2026;541;653;d 3;1;1;rue de la jarry;30
25/02/2026;546;681;d 2;3;2;rue dohis;3, 5
25/02/2026;546;681;d 2;24;17;rue des laitieres;5, 7, 8, 9, 10, 13, 16, 17, 22, 27, 31, 46, 47BIS, 49, 52, 56
25/02/2026;546;681;d 2;27;8;rue georges huchon;RC2, 3, 4, 7, 9, 12, 15, 28
25/02/2026;546;681;d 2;11;7;rue de la prevoyance;3, 14, 19, 25, 46, 50, 55
25/02/2026;546;681;d 2;3;2;avenue georges clemenceau;17, 21
25/02/2026;546;681;d 2;1;1;rue eugene blot;3
25/02/2026;546;681;d 2;12;7;rue renon;2, 3, 5BIS, 6, 12, 14, 36
25/02/2026;546;681;d 2;1;1;rue victor basch;30
25/02/2026;546;682;d 3;3;3;rue de lagny;25, 41, 45BIS
25/02/2026;546;682;d 3;7;4;rue fays;14, 21, 28, 30
25/02/2026;546;682;d 3;9;7;rue celine robert;2, 3, 12, 22, 32, 45
25/02/2026;546;682;d 3;2;2;rue charles marinier;1, 3
25/02/2026;546;683;d 4;20;13;rue massue;3, 4, 11, 16, 31, 32, 40, 41, 42, 43, 54, 55, 60
25/02/2026;542;683;d 4;1;1;avenue de la republique;1
25/02/2026;546;683;d 4;1;1;rue de l egalite;7
25/02/2026;546;683;d 4;5;4;rue de colmar;1, 2, 5, 6
25/02/2026;546;683;d 4;13;8;avenue aubert;42, 44, 56, 64, 74, 84, 86BIS, 88
25/02/2026;546;684;d 5;3;2;avenue antoine quinson;2, 4
25/02/2026;546;684;d 5;3;2;villa beausejour;13
25/02/2026;546;684;d 5;1;1;rue du docteur lebel;9
25/02/2026;546;684;d 5;1;1;rue eugenie gerard;6
25/02/2026;546;684;d 5;7;6;rue villebois mareuil;4, 8, 9, 16, 19
25/02/2026;546;684;d 5;5;4;rue de montreuil;2, 3, 5, 22
25/02/2026;544;684;d 5;3;3;rue jean moulin;2TER, 4, 17
25/02/2026;546;684;d 5;2;2;rue d estienne d orves;4
23/02/2026;546;681;d 2;1;1;rue dohis;15
23/02/2026;546;681;d 2;6;6;rue des laitieres;6, 14, 23, 47BIS, 51BIS, 53
23/02/2026;546;681;d 2;7;4;rue georges huchon;RC2, 7, 13, 28
23/02/2026;546;681;d 2;3;3;rue de la prevoyance;31, 47, 59
23/02/2026;546;681;d 2;3;3;avenue georges clemenceau;14, 15, 21
23/02/2026;546;681;d 2;5;4;rue renon;3, 10, 16, 36
23/02/2026;546;681;d 2;1;1;villa saint joseph;4
23/02/2026;546;682;d 3;5;2;rue de lagny;25, 47
23/02/2026;546;682;d 3;1;1;rue fays;24
23/02/2026;546;682;d 3;3;3;rue celine robert;39, 42, 46
23/02/2026;546;683;d 4;5;5;rue massue;1, 20TER, 25, 60
23/02/2026;542;683;d 4;2;2;avenue de la republique;1, 2
23/02/2026;546;683;d 4;2;2;rue de l egalite;12, 14
23/02/2026;546;683;d 4;4;2;rue de colmar;3, 5
23/02/2026;546;683;d 4;6;2;avenue aubert;44, 62, 64BIS, 94
23/02/2026;546;684;d 5;1;1;avenue antoine quinson;6B
